Title:,"Time Series, Area-Averaged of Transpiration hourly 0.125 deg. [NLDAS Model NLDAS_MOS0125_H ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-26T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.9375,34.0625,-81.1875,36.5625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-26T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=NLDAS_MOS0125_H_002_transsfc&variableFacets=dataFieldDiscipline%3AWater%20and%20Energy%20Cycle%3B&portal=GIOVANNI&format=json"
Fill Value (mean_NLDAS_MOS0125_H_002_transsfc):,-9999
,
time, mean_NLDAS_MOS0125_H_002_transsfc
1/18/19 12:00,-0.002346247
1/18/19 13:00,-0.000605114
1/18/19 14:00,-0.139984205
1/18/19 15:00,-2.09448791
1/18/19 16:00,-8.05144215
1/18/19 17:00,-20.4170837
1/18/19 18:00,-40.1520462
1/18/19 19:00,-57.6938667
1/18/19 20:00,-63.8796196
1/18/19 21:00,-51.8975105
1/18/19 22:00,-24.6131191
1/18/19 23:00,-0.889871418
1/19/19 0:00,-0.00021419
1/19/19 1:00,0
1/19/19 2:00,0
1/19/19 3:00,0
1/19/19 4:00,0
1/19/19 5:00,0
1/19/19 6:00,0
1/19/19 7:00,0
1/19/19 8:00,0
1/19/19 9:00,-0.003502297
1/19/19 10:00,-0.008120243
1/19/19 11:00,-0.008934719
1/19/19 12:00,-0.02962321
1/19/19 13:00,-0.134666413
1/19/19 14:00,-2.03227735
1/19/19 15:00,-6.90667057
1/19/19 16:00,-10.2414055
1/19/19 17:00,-11.8004847
1/19/19 18:00,-10.5478458
1/19/19 19:00,-8.06102943
1/19/19 20:00,-6.34586859
1/19/19 21:00,-4.86468458
1/19/19 22:00,-2.46459508
1/19/19 23:00,-0.473515779
1/20/19 0:00,-0.120340571
1/20/19 1:00,-0.062844843
1/20/19 2:00,-0.045737766
1/20/19 3:00,-0.030556403
1/20/19 4:00,-0.02951519
1/20/19 5:00,-0.041146565
1/20/19 6:00,-0.049595576
1/20/19 7:00,-0.056363113
1/20/19 8:00,-0.076199435
1/20/19 9:00,-0.114347428
1/20/19 10:00,-0.145271212
1/20/19 11:00,-0.17969954
1/20/19 12:00,-0.219769061
1/20/19 13:00,-0.362171471
1/20/19 14:00,-1.48635197
1/20/19 15:00,-4.24806499
1/20/19 16:00,-9.20242977
1/20/19 17:00,-16.0273037
1/20/19 18:00,-23.6560612
1/20/19 19:00,-27.9244175
1/20/19 20:00,-26.7588596
1/20/19 21:00,-21.3294983
1/20/19 22:00,-12.4826584
1/20/19 23:00,-3.83929038
1/21/19 0:00,-1.27624691
1/21/19 1:00,-0.541331291
1/21/19 2:00,-0.276001245
1/21/19 3:00,-0.150573403
1/21/19 4:00,-0.080657393
1/21/19 5:00,-0.049169533
1/21/19 6:00,-0.0333113
1/21/19 7:00,-0.022040032
1/21/19 8:00,-0.015693782
1/21/19 9:00,-0.010472043
1/21/19 10:00,-0.006371061
1/21/19 11:00,-0.003229901
1/21/19 12:00,-0.001374142
1/21/19 13:00,-0.000956303
1/21/19 14:00,-0.421410263
1/21/19 15:00,-4.66434622
1/21/19 16:00,-11.5400839
1/21/19 17:00,-20.6783161
1/21/19 18:00,-31.0761833
1/21/19 19:00,-37.3634987
1/21/19 20:00,-37.1779976
1/21/19 21:00,-30.496973
1/21/19 22:00,-17.1625385
1/21/19 23:00,-3.97978735
1/22/19 0:00,-0.237079158
1/22/19 1:00,-0.053511769
1/22/19 2:00,-0.00451724
1/22/19 3:00,-0.000154654
1/22/19 4:00,-0.000279316
1/22/19 5:00,-0.004145266
1/22/19 6:00,-0.021756668
1/22/19 7:00,-0.053140428
1/22/19 8:00,-0.076111361
1/22/19 9:00,-0.086630724
1/22/19 10:00,-0.089393571
1/22/19 11:00,-0.092444569
1/22/19 12:00,-0.092156507
1/22/19 13:00,-0.139488876
1/22/19 14:00,-1.32080722
1/22/19 15:00,-7.76861858
1/22/19 16:00,-20.1623459
1/22/19 17:00,-36.8773575
1/22/19 18:00,-53.9491539
1/22/19 19:00,-60.3459587
1/22/19 20:00,-54.1310349
1/22/19 21:00,-41.0626297
1/22/19 22:00,-23.7337532
1/22/19 23:00,-7.30516815
1/23/19 0:00,-2.66844463
1/23/19 1:00,-2.00565219
1/23/19 2:00,-1.6761235
1/23/19 3:00,-1.43832922
1/23/19 4:00,-1.27082205
1/23/19 5:00,-1.14038408
1/23/19 6:00,-1.04956818
1/23/19 7:00,-0.996777654
1/23/19 8:00,-0.936405361
1/23/19 9:00,-0.927389085
1/23/19 10:00,-0.922821283
1/23/19 11:00,-0.897582173
1/23/19 12:00,-0.884367824
1/23/19 13:00,-1.1778295
1/23/19 14:00,-3.98672485
1/23/19 15:00,-8.61977386
1/23/19 16:00,-13.1540337
1/23/19 17:00,-18.1394291
1/23/19 18:00,-23.4174671
1/23/19 19:00,-26.9439201
1/23/19 20:00,-26.9122047
1/23/19 21:00,-22.0936394
1/23/19 22:00,-13.1212931
1/23/19 23:00,-3.07938743
1/24/19 0:00,-0.781985521
1/24/19 1:00,-0.457722694
1/24/19 2:00,-0.192913443
1/24/19 3:00,-0.046767265
1/24/19 4:00,-0.003644418
1/24/19 5:00,-0.000336936
1/24/19 6:00,-0.000243437
1/24/19 7:00,-0.000227974
1/24/19 8:00,-0.000106354
1/24/19 9:00,-0.000122805
1/24/19 10:00,-0.000551416
1/24/19 11:00,-0.003317518
1/24/19 12:00,-0.008694512
1/24/19 13:00,-0.020321129
1/24/19 14:00,-0.453347385
1/24/19 15:00,-3.75164914
1/24/19 16:00,-13.7550898
1/24/19 17:00,-28.3028336
1/24/19 18:00,-43.1694794
1/24/19 19:00,-51.5103531
1/24/19 20:00,-50.4215775
1/24/19 21:00,-40.2928238
1/24/19 22:00,-23.4641018
1/24/19 23:00,-6.45006084
1/25/19 0:00,-1.03415835
1/25/19 1:00,-0.305632174
1/25/19 2:00,-0.185437322
1/25/19 3:00,-0.13013348
1/25/19 4:00,-0.090918593
1/25/19 5:00,-0.078382544
1/25/19 6:00,-0.0806126
1/25/19 7:00,-0.096869923
1/25/19 8:00,-0.1146231
1/25/19 9:00,-0.130569026
1/25/19 10:00,-0.12981315
1/25/19 11:00,-0.10829448
1/25/19 12:00,-0.075446889
1/25/19 13:00,-0.078750461
1/25/19 14:00,-0.782119036
1/25/19 15:00,-10.0477419
1/25/19 16:00,-25.4860287
1/25/19 17:00,-39.7314186
1/25/19 18:00,-53.5715828
1/25/19 19:00,-59.9001961
1/25/19 20:00,-56.9816399
1/25/19 21:00,-45.3738976
1/25/19 22:00,-25.814415
1/25/19 23:00,-4.11719894
1/26/19 0:00,-0.138368249
1/26/19 1:00,-0.014918126
1/26/19 2:00,-0.001898617
1/26/19 3:00,-0.000155907
1/26/19 4:00,0
1/26/19 5:00,0
1/26/19 6:00,-9.54E-07
1/26/19 7:00,-1.51E-05
1/26/19 8:00,-0.001198138
1/26/19 9:00,-0.003367777
1/26/19 10:00,-0.003428737
